BenchMarkPlayer
games.Othello.BenchmarkPlayer.BenchMarkPlayer:
run, gameNum, evalQ, evalT, actionNum, trnMoves, elapsedTime, movesSecond
1, 6000, 0.0, 0.0, 0, 0, 0.47600000000000026, 0.0
1, 6500, 0.0, 0.0, 0, 0, 0.49400000000000027, 0.0
1, 7000, 0.0, 0.0, 0, 0, 0.5080000000000002, 0.0
1, 7500, 0.0, 0.0, 0, 0, 0.5240000000000002, 0.0
1, 8000, 0.0, 0.0, 0, 0, 0.5380000000000003, 0.0
1, 8500, 0.0, 0.0, 0, 0, 0.5510000000000003, 0.0
1, 9000, 0.0, 0.0, 0, 0, 0.5620000000000003, 0.0
1, 9500, 0.0, 0.0, 0, 0, 0.5740000000000003, 0.0
1, 10000, 0.0, 0.0, 0, 0, 0.5880000000000003, 0.0
2, 500, 0.0, 0.0, 0, 0, 0.6010000000000003, 0.0
2, 1000, 0.0, 0.0, 0, 0, 0.6130000000000003, 0.0
2, 1500, 0.0, 0.0, 0, 0, 0.6270000000000003, 0.0
2, 2000, 0.0, 0.0, 0, 0, 0.6380000000000003, 0.0
2, 2500, 0.0, 0.0, 0, 0, 0.6480000000000004, 0.0
2, 3000, 0.0, 0.0, 0, 0, 0.6600000000000004, 0.0
2, 3500, 0.0, 0.0, 0, 0, 0.6710000000000004, 0.0
2, 4000, 0.0, 0.0, 0, 0, 0.6810000000000004, 0.0
2, 4500, 0.0, 0.0, 0, 0, 0.6910000000000004, 0.0
2, 5000, 0.0, 0.0, 0, 0, 0.7000000000000004, 0.0
2, 5500, 0.0, 0.0, 0, 0, 0.7140000000000004, 0.0
2, 6000, 0.0, 0.0, 0, 0, 0.7260000000000004, 0.0
2, 6500, 0.0, 0.0, 0, 0, 0.7370000000000004, 0.0
2, 7000, 0.0, 0.0, 0, 0, 0.7460000000000004, 0.0
2, 7500, 0.0, 0.0, 0, 0, 0.7560000000000004, 0.0
2, 8000, 0.0, 0.0, 0, 0, 0.7650000000000005, 0.0
2, 8500, 0.0, 0.0, 0, 0, 0.7750000000000005, 0.0
